ID,VID,PLID,Type,LinkID
248,1118,0,1,0
249,1119,0,1,7236
250,1120,0,1,6699
251,1121,0,1,7303
252,1122,0,1,6631
253,1123,0,1,6631
254,1124,0,1,6829
255,1125,0,1,6849
256,1126,0,1,6883
257,1127,0,1,6884
258,1128,0,1,11157
259,1129,0,1,7577
260,1130,0,1,10748
261,1131,0,1,7663
262,1132,0,1,16639
263,1133,0,1,6943
264,1134,0,1,6943
265,1135,0,1,11318
266,1136,0,1,16586
267,1137,0,1,16585
268,1138,0,1,7724
269,1139,0,1,7724
270,1140,0,1,6990
271,1141,0,1,6997
272,1142,0,1,12914
273,1143,0,1,7078
274,1144,0,1,7856
275,1145,0,1,7112
276,1146,0,1,16362
277,1147,0,1,16286
278,1148,0,1,7379
279,1149,0,1,7379
280,1150,0,1,9213
281,1151,0,1,10555
282,1152,0,1,12895
283,1153,0,1,7466
284,1154,0,1,7473
285,1155,0,1,7473
286,1156,0,1,7509
287,1157,0,1,7510
288,1158,0,1,7573
289,1159,0,1,7574
290,1160,0,1,7615
291,1161,0,1,7615
292,1162,0,1,0
293,1163,0,1,0
294,1164,0,1,7111
295,1165,0,1,9212
296,1166,0,1,9213
297,1167,0,1,7899
298,1168,0,1,7900
299,1169,0,1,16411
300,1170,0,1,8104
301,1171,0,1,10302
302,1172,0,1,10297
303,1173,0,1,8123
304,1174,0,1,8124
305,1175,0,1,8114
306,1176,0,1,8269
307,1177,0,1,10148
308,1178,0,1,10137
309,1179,0,1,10134
310,1180,0,1,8263
311,1181,0,1,9776
312,1182,0,1,9776
313,1183,0,1,8629
314,1184,0,1,0
315,1185,0,1,10821
316,1186,0,1,10821
317,1187,0,1,9757
318,1188,0,1,9757
319,1189,0,1,9676
320,1190,0,1,9681
321,1191,0,1,10916
322,1192,0,1,10915
323,1193,0,1,9569
324,1194,0,1,9570
325,1195,0,1,5190
326,1196,0,1,10909
327,1197,0,1,5193
328,1198,0,1,3590
329,1199,0,1,15463
330,1200,0,1,6994
331,1201,0,1,16587
332,1202,0,1,7577
333,1203,0,1,11157
334,1204,0,1,18737
335,1205,0,1,6700
336,1206,0,1,11318
337,1207,0,3,90
338,1208,0,3,90
339,1209,0,3,16477
340,1210,0,3,413
341,1211,0,3,371
342,1212,0,3,348
343,1213,0,3,340
344,1214,0,3,324
345,1215,0,3,300
346,1216,0,3,1019
347,1217,0,3,652
348,1218,0,3,216
349,1219,0,3,554
350,1220,0,3,109
351,1221,0,3,56
352,1222,0,3,1
353,1223,0,3,0
354,1224,0,3,1621
355,1225,0,3,1621
356,1226,0,3,1095
357,1227,0,3,989
358,1228,0,3,944
359,1229,0,3,897
360,1230,0,3,16330
361,1231,0,3,0
362,1232,0,3,3179
363,1233,0,3,1644
364,1234,0,3,1193
365,1235,0,3,1546
366,1236,0,3,652
367,1237,0,3,1019
368,1238,0,3,291
369,1239,0,3,995
370,1240,0,3,318
371,1241,0,3,341
372,1242,0,3,969
373,1243,0,3,944
374,1244,0,3,371
375,1245,0,3,897
376,1246,0,3,413
377,1247,0,3,875
378,1248,0,3,16477
379,1249,0,3,16330
380,1250,0,3,1260
381,1251,0,3,5928
382,1252,0,3,6024
383,1253,0,3,4173
384,1254,0,3,4441
385,1255,0,3,4514
386,1256,0,3,4557
387,1257,0,3,3398
388,1258,0,3,3385
389,1259,0,3,3175
390,1260,0,3,5202
391,1261,0,3,2431
392,1262,0,3,296
393,1263,0,3,5746
394,1264,0,3,5940
395,1265,0,3,2078
396,1266,0,3,6319
397,1267,0,3,6482
398,1268,0,3,2430
399,1269,0,3,2831
400,1270,0,3,3184
401,1271,0,3,3385
402,1272,0,3,3398
403,1273,0,3,3478
404,1274,0,3,4503
405,1275,0,3,3862
406,1276,0,3,16586
407,1277,0,3,16585
408,1278,0,3,1989
409,1279,0,3,5948
410,1280,0,3,5948
411,1281,0,3,4157
412,1282,0,3,2284
413,1283,0,3,4015
414,1284,0,3,3855
415,1285,0,3,3599
416,1286,0,3,6772
417,1287,0,3,7166
418,1288,0,3,6829
419,1289,0,3,0
420,1290,0,3,0
421,1291,0,3,7236
422,1292,0,3,6699
423,1293,0,3,7303
424,1294,0,3,6631
425,1295,0,3,6631
426,1296,0,3,6829
427,1297,0,3,6849
428,1298,0,3,6883
429,1299,0,3,6884
430,1300,0,3,11157
431,1301,0,3,7577
432,1302,0,3,7581
433,1303,0,3,6891
434,1304,0,3,16639
435,1305,0,3,6943
436,1306,0,3,6943
437,1307,0,3,11318
438,1308,0,3,16586
439,1309,0,3,16585
440,1310,0,3,7724
441,1311,0,3,7724
442,1312,0,3,6990
443,1313,0,3,6997
444,1314,0,3,12914
445,1315,0,3,7078
446,1316,0,3,9238
447,1317,0,3,7112
448,1318,0,3,16362
449,1319,0,3,16286
450,1320,0,3,7379
451,1321,0,3,7379
452,1322,0,3,9212
453,1323,0,3,7387
454,1324,0,3,12895
455,1325,0,3,7466
456,1326,0,3,7473
457,1327,0,3,7473
458,1328,0,3,16570
459,1329,0,3,7510
460,1330,0,3,7573
461,1331,0,3,7573
462,1332,0,3,7615
463,1333,0,3,7615
464,1334,0,3,0
465,1335,0,3,0
466,1336,0,3,7111
467,1337,0,3,9212
468,1338,0,3,9212
469,1339,0,3,7899
470,1340,0,3,7899
471,1341,0,3,16411
472,1342,0,3,8104
473,1343,0,3,10302
474,1344,0,3,10297
475,1345,0,3,8123
476,1346,0,3,8124
477,1347,0,3,8114
478,1348,0,3,8269
479,1349,0,3,10148
480,1350,0,3,10137
481,1351,0,3,10134
482,1352,0,3,8263
483,1353,0,3,9776
484,1354,0,3,9776
485,1355,0,3,8629
486,1356,0,3,8629
487,1357,0,3,10821
488,1358,0,3,10821
489,1359,0,3,9757
490,1360,0,3,9757
491,1361,0,3,9675
492,1362,0,3,9681
493,1363,0,3,10916
494,1364,0,3,10915
495,1365,0,3,9569
496,1366,0,3,9570
497,1367,0,3,5190
498,1368,0,3,10908
499,1369,0,3,5193
500,1370,0,3,3590
501,1371,0,3,15463
502,1372,0,3,6994
503,1373,0,3,16587
504,1374,0,3,7577
505,1375,0,3,11157
506,1376,0,3,18737
507,1377,0,3,6700
508,1378,0,3,11318
509,1379,0,9,1
510,1380,0,9,109
511,1381,0,9,554
512,1382,0,9,300
513,1383,0,9,16477
514,1384,0,9,0
515,1385,0,9,1019
516,1386,0,9,16343
517,1387,0,9,0
518,1388,0,9,3179
519,1389,0,9,1644
520,1390,0,9,1193
521,1391,0,9,291
522,1392,0,9,1019
523,1393,0,9,875
524,1394,0,9,16477
525,1395,0,9,16330
526,1396,0,9,2431
527,1397,0,9,296
528,1398,0,9,5746
529,1399,0,9,6482
530,1400,0,9,2430
531,1401,0,9,3438
532,1402,0,9,3438
533,1403,0,9,0
534,1404,0,9,7236
535,1405,0,9,6829
536,1406,0,9,6849
537,1407,0,9,16362
538,1408,0,9,16286
539,1409,0,9,7615
540,1410,0,9,7615
541,1411,0,9,6829
542,1412,0,9,6631
543,1413,0,9,6631
544,1414,0,9,0
545,1415,0,9,0
546,1416,0,9,0
547,1417,0,9,7112
548,1418,0,9,7111
549,1419,0,9,7899
550,1420,0,9,7900
551,1421,0,9,16411
552,1422,0,9,8629
553,1423,0,9,8629
554,1424,0,9,9757
555,1425,0,9,9757
556,1426,0,9,9676
557,1427,0,9,9681
558,1428,0,9,9681
559,1429,0,9,10916
560,1430,0,9,10916
561,1431,0,9,9569
562,1432,0,9,9570
563,1433,0,9,5190
564,1434,0,9,5193
